rp_uid,rp_event,rp_item,rp_problem,rp_section,rp_tryfix,rp_fixed,rp_source,rp_comment
143,28/02/2026,Hat,Dog ate it,Sewing,TRUE,TRUE,Online,
144,28/02/2026,Bag,Broken zipper,Sewing,TRUE,TRUE,Northdale,
145,28/02/2026,CD Player,Donation,Electrical,FALSE,FALSE,,
146,28/02/2026,Clock,Loud ticker to replace,Mechanical,TRUE,TRUE,Facebook,
147,28/02/2026,Home welder,Replace plug please,Electrical,TRUE,TRUE,Facebook,
148,28/02/2026,Jumper,Seam detached,Sewing,TRUE,TRUE,Facebook,
149,28/03/2026,Hanry Vacuum,Blocked,Electrical,TRUE,TRUE,Northdale,
150,28/03/2026,Frog hot water bottle case,New nose,Sewing,TRUE,TRUE,Northdale,
151,28/03/2026,Emotional support puppy,Not working (batteries),Electrical,TRUE,TRUE,Northdale,
152,28/03/2026,Trousers,Seem needs sewingt,Sewing,TRUE,TRUE,Volunteer,
153,28/03/2026,Hedge Trimmer,Cable cut,Electrical,TRUE,TRUE,Yafforth Hub,
154,28/03/2026,Headphones,Not working,Electrical,TRUE,TRUE,Yafforth Hub,
155,28/03/2026,Jeans,Too long,Sewing,TRUE,TRUE,Facebook,
156,28/03/2026,Grill pan,Lost foot,General,TRUE,TRUE,,
157,28/03/2026,Horse,Broken leg,General,TRUE,TRUE,Newspaper,
158,28/03/2026,Clock,Too fast,Mechanical,TRUE,FALSE,Previous,
159,28/03/2026,Handbag,Faulty zip,Sewing,TRUE,TRUE,Northdale,
160,28/03/2026,Vax vacuum,Not charging,Electrical,TRUE,FALSE,Other RC,
161,28/03/2026,Fleece,Zip repair,Sewing,TRUE,TRUE,Volunteer,
162,28/03/2026,Cardigans,Hole,Sewing,TRUE,TRUE,Volunteer,
163,28/03/2026,Rucksack,Detached strap,Sewing,TRUE,TRUE,Volunteer,
164,28/03/2026,Iron,Not working,Electrical,TRUE,FALSE,NYC,
165,28/03/2026,Shark vacuum,Motor runs but not picking up,Electrical,TRUE,FALSE,NYC,
166,25/04/2026,Sewing Machine,Test only,Electrical,TRUE,TRUE,Volunteer,
167,25/04/2026,Crawling baby,Not crawling,Electrical,TRUE,FALSE,Volunteer,
168,25/04/2026,Toaster,Tripping RCD,Electrical,TRUE,TRUE,Volunteer,
169,25/04/2026,Clock,Broken piece,Mechanical,TRUE,TRUE,Newspaper,
170,25/04/2026,Barograph,Stops,Mechanical,TRUE,TRUE,Scruton,
171,25/04/2026,Tea cup,Broken handle,General,TRUE,TRUE,WoM,
172,25/04/2026,Hand drill,Gear problem,Electrical,TRUE,TRUE,Previous,
173,25/04/2026,Cardigans,Holes in seam,Sewing,TRUE,TRUE,Facebook,
174,25/04/2026,Lamp,Needs rewiring,Electrical,TRUE,TRUE,Noticeboard,
175,25/04/2026,Coffee Grinder,Not rotating,Electrical,TRUE,FALSE,Newspaper,
176,25/04/2026,Shopping bag,Broken,Sewing,FALSE,FALSE,WoM,
177,25/04/2026,Ornamental sheep,Broken,General,TRUE,TRUE,WoM,
178,25/04/2026,Clock,Loose hand,Mechanical,TRUE,TRUE,Internet,
179,25/04/2026,Jumper,Hole in neck seam,Sewing,TRUE,TRUE,Facebook,
180,25/04/2026,Electric scissors,Incorrect plug,Electrical,TRUE,TRUE,Volunteer,
181,16/05/2026,Radio,Dodgy switch,Electrical,TRUE,TRUE,Library,
182,16/05/2026,Shopping Trolley,Broken handle,Mechanical,TRUE,TRUE,Flyer,
183,16/05/2026,"CD, Radio, Cassette",Cassette stuck,General,TRUE,FALSE,Flyer,
184,16/05/2026,Clock,Too fast,Mechanical,TRUE,TRUE,Previous,
185,16/05/2026,18V motor,Stick cog,Mechanical,TRUE,FALSE,Facebook,
186,30/05/2026,HP Laptop,"Won't charge, very slow",Electrical,TRUE,FALSE,Volunteer,
187,30/05/2026,Tape measure,Unspooled,Mechanical,TRUE,TRUE,Volunteer,Donation. To be fixed. RZ
188,30/05/2026,Glasses,Need glueing,General,TRUE,TRUE,Volunteer,
189,30/05/2026,Portable Speakers,Not pairing,Electrical,TRUE,TRUE,Northdale,
190,30/05/2026,Shorts,Holes,Sewing,TRUE,TRUE,Northdale,
191,30/05/2026,Canvas Bag,Handle needs sewing,Sewing,FALSE,FALSE,Northdale,For next time
192,30/05/2026,Jeans,Holes,Sewing,TRUE,TRUE,Facebook,
193,30/05/2026,Backpack,?,Sewing,FALSE,FALSE,Northdale,For next time
194,30/05/2026,Backpack,Broken Zip,Sewing,TRUE,FALSE,Northdale,
195,30/05/2026,Musical Cigarete box,Not working,Mechanical,TRUE,TRUE,Unknown,
196,30/05/2026,Canon MG5150 Injet Printer,Wast tank full,Electrical,FALSE,FALSE,WI,Coming back next month for disassembly
197,,,,,FALSE,FALSE,,
198,,,,,FALSE,FALSE,,
199,,,,,FALSE,FALSE,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
